ppm,co2,uv,hum,temp,label
0.64,631,15.36,71,15,2
0.64,630,15.32,71,16,2
0.64,628,15.25,70,16,2
0.64,624,15.1,69,15,2
0.64,625,15.14,70,15,2
0.64,609,14.55,71,16,2
0.64,615,14.77,70,16,2
0.64,622,15.03,69,16,2
0.64,623,15.06,69,16,2
0.64,624,15.1,68,16,2
0.64,623,15.06,68,16,2
0.64,626,15.17,67,16,2
0.64,626,15.17,67,16,2
0.64,627,15.21,67,16,2
0.64,623,15.06,66,16,2
0.64,627,15.21,66,16,2
0.56,627,15.21,65,16,2
0.64,628,15.25,65,17,2
0.64,627,15.21,64,16,2
0.64,627,15.21,65,17,2
0.64,626,15.17,65,17,2
0.64,627,15.21,64,17,2
0.64,626,15.17,65,17,2
0.64,628,15.25,65,17,2
0.64,627,15.21,66,17,2
0.64,626,15.17,65,16,2
0.64,624,15.1,65,16,2
0.64,623,15.06,65,16,2
0.64,628,15.25,66,16,2
0.64,629,15.28,66,16,2
0.64,628,15.25,66,16,2
0.64,627,15.21,66,16,2
0.64,627,15.21,66,16,2
0.64,628,15.25,67,16,2
0.64,628,15.25,67,16,2
0.64,628,15.18,66,16,2
0.64,630,15.29,66,16,2
0.64,621,14.99,66,16,2
0.64,628,15.18,65,16,2
0.64,629,15.12,65,16,2
0.64,626,15.08,65,16,2
0.64,624,15.1,65,16,2
0.64,625,15.1,66,17,2
0.64,625,15.1,65,17,2
0.74,624,15.07,65,17,2
0.74,624,15.07,64,17,2
0.74,624,15.07,64,17,2
0.74,624,15.07,64,17,2
0.84,624,15.07,64,17,2
0.74,624,15.07,63,17,2
0.74,624,15.07,62,18,2
0.64,624,15.07,62,17,2
0.64,624,15.07,62,17,2
0.64,624,15.07,62,17,2
0.74,624,15.07,62,17,2
0.64,624,15.07,62,17,2
0.64,624,15.07,62,17,2
0.64,624,15.07,62,17,2
0.64,624,15.07,61,17,2
0.64,625,15.1,61,17,2
0.56,625,15.1,61,18,2
0.64,624,15.07,60,18,2
0.64,624,15.07,60,18,2
0.64,624,15.07,60,18,2
0.64,612,14.63,60,17,2
0.64,622,14.99,61,17,2
0.64,621,14.96,61,17,2
0.64,613,14.66,61,17,2
0.56,624,15.07,61,17,2
0.56,626,15.14,61,17,2
0.56,619,14.88,61,17,2
0.64,617,14.84,60,17,2
0.56,613,14.7,60,17,2
0.56,610,14.59,61,17,2
0.56,620,14.95,61,17,2
0.56,615,14.77,60,18,2
0.64,613,14.7,59,18,2
0.56,614,14.7,58,19,2
0.56,626,15.14,57,19,2
0.56,610,14.59,56,19,2
0.56,614,14.7,55,20,2
0.64,616,14.77,55,20,2
0.56,628,15.21,55,19,2
0.64,629,15.25,55,20,2
0.64,627,15.18,55,20,2
